会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001a,733,B,IC01_深石,草島さん,クサジマサン,草島さん,名詞-固有名詞-人名-姓,,,固,,クサジマサン,(R 草%島)さん,クサジマサン,クサッジマサン,242.823,245.313,242.823,245.313,1,B
K008_001a,734,I,IC01_深石,は,ハ,は,助詞-係助詞,,,和,,ハ,は ,ワ,ワ,242.823,245.313,242.823,245.313,0,I
K008_001a,735,I,IC01_深石,寝室,シンシツ,寝室,名詞-普通名詞-一般,,,漢,,シンシツ,(W シシツ|寝室),シンシツ,シシツ,242.823,245.313,242.823,245.313,0,B
K008_001a,736,I,IC01_深石,寝室,シンシツ,寝室,名詞-普通名詞-一般,,,漢,,シンシツ,寝室,シンシツ,シンシツ,242.823,245.313,242.823,245.313,0,B
K008_001a,737,I,IC01_深石,が,ガ,が,助詞-格助詞,,,和,,ガ,が,ガ,ガ,242.823,245.313,242.823,245.313,0,I
K008_001a,738,I,IC01_深石,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,242.823,245.313,242.823,245.313,0,B
K008_001a,739,I,IC01_深石,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,242.823,245.313,242.823,245.313,0,I
K008_001a,740,I,IC01_深石,か,カ,か,助詞-終助詞,,,和,,カ,か?。,カ,カ,242.823,245.313,242.823,245.313,0,I
K008_001a,741,B,IC03_久美,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,245.135,245.787,245.135,245.787,0,B
K008_001a,742,I,IC03_久美,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です。,デス,デス,245.135,245.787,245.135,245.787,0,I
K008_001a,743,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,245.787,246.091,245.787,246.091,0,B
K008_001a,744,B,IC01_深石,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね:。,ネ,ネー,245.937,246.742,245.937,246.742,0,B
K008_001a,745,B,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ ,ア,ア,246.091,246.430,246.091,246.430,0,B
K008_001a,746,I,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,246.091,246.430,246.091,246.430,0,B
K008_001a,747,B,IC03_久美,ま,マア,まあ,副詞,,,和,,マ,(G まあ|ま) ,マ,マ,246.430,247.554,246.430,247.554,0,B
K008_001a,748,I,IC03_久美,居間,イマ,居間,名詞-普通名詞-一般,,,和,,イマ,居間,イマ,イマ,246.430,247.554,246.430,247.554,0,B
K008_001a,749,I,IC03_久美,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,246.430,247.554,246.430,247.554,0,I
K008_001a,750,I,IC03_久美,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,246.430,247.554,246.430,247.554,0,B
K008_001a,751,I,IC03_久美,で,デ,で,助詞-格助詞,,,和,,デ,で。,デ,デ,246.430,247.554,246.430,247.554,0,I
K008_001a,752,B,IC03_久美,だから,ダカラ,だから,接続詞,,,和,,ダカラ,だから,ダカラ,ダカラ,247.554,252.578,247.554,250.29,0,B
K008_001a,753,I,IC03_久美,一階,イッカイ,一階,名詞-数詞,,,漢,,イッカイ,一階,イッカイ,イッカイ,247.554,252.578,247.554,250.29,0,B
K008_001a,754,I,IC03_久美,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,247.554,252.578,247.554,250.29,0,I
K008_001a,755,I,IC03_久美,台所,ダイドコロ,台所,名詞-普通名詞-一般,,,混,,ダイドコロ,台所,ダイドコロ,ダイドコロ,247.554,252.578,247.554,250.29,0,B
K008_001a,756,I,IC03_久美,と,ト,と,助詞-格助詞,,,和,,ト,と ,ト,ト,247.554,252.578,247.554,250.29,0,I
K008_001a,757,I,IC03_久美,お風呂場,オフロバ,御風呂場,名詞-普通名詞-一般,,,和,,オフロバ,お風呂場,オフロバ,オフロバ,247.554,252.578,247.554,250.29,0,B
K008_001a,758,I,IC03_久美,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,247.554,252.578,247.554,250.29,0,I
K008_001a,759,I,IC03_久美,か,カ,か,助詞-副助詞,,,和,,カ,か ,カ,カ,247.554,252.578,247.554,250.29,0,I
K008_001a,760,I,IC03_久美,あと,アト,後,名詞-普通名詞-一般,,,和,,アト,あと,アト,アト,247.554,252.578,247.554,250.29,0,B
K008_001a,761,I,IC03_久美,姑,シュウトメ,姑,名詞-普通名詞-一般,,,和,,シュウトメ,姑,シュートメ,シュートメ,247.554,252.578,250.92,251.879,0,B
K008_001a,762,I,IC03_久美,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,247.554,252.578,250.92,251.879,0,I
K008_001a,763,I,IC03_久美,部屋,ヘヤ,部屋,名詞-普通名詞-一般,,,和,,ヘヤ,部屋:,ヘヤ,ヘヤー,247.554,252.578,250.92,251.879,0,B
K008_001a,764,I,IC03_久美,が,ガ,が,助詞-格助詞,,,和,,ガ,が ,ガ,ガ,247.554,252.578,251.998,252.578,0,I
K008_001a,765,I,IC03_久美,ある,アル,有る,動詞-一般,五段-ラ行,終止形-一般,和,,アル,ある,アル,アル,247.554,252.578,251.998,252.578,0,B
K008_001a,766,I,IC03_久美,けど,ケレド,けれど,助詞-接続助詞,,,和,,ケド,けど。,ケド,ケド,247.554,252.578,251.998,252.578,0,I
K008_001a,767,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん ,ウン,ウン,249.115,249.646,249.115,249.646,0,B
K008_001a,768,I,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,249.115,249.646,249.115,249.646,0,B
K008_001a,769,B,IC02_鶴賀,ちょっと,チョット,一寸,副詞,,,和,,チョット,(T ちょっと)。,チョット,チョット,251.309,251.743,251.309,251.743,0,B
K008_001a,770,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,(T うん)。,ウン,ウン,252.418,252.617,252.418,252.617,0,B
K008_001a,771,B,IC03_久美,今,イマ,今,副詞,,,和,,イマ,今 ,イマ,イマ,252.578,253.955,252.578,253.955,0,B
K008_001a,772,I,IC03_久美,使っ,ツカウ,使う,動詞-一般,五段-ワア行,連用形-促音便,和,,ツカウ,使っ,ツカッ,ツカッ,252.578,253.955,252.578,253.955,0,B
K008_001a,773,I,IC03_久美,て,テル,てる,助動詞,下一段-タ行,未然形-一般,和,,テル,て,テ,テ,252.578,253.955,252.578,253.955,0,I
K008_001a,774,I,IC03_久美,ない,ナイ,ない,助動詞,助動詞-ナイ,終止形-一般,和,,ナイ,ない,ナイ,ナイ,252.578,253.955,252.578,253.955,0,I
K008_001a,775,I,IC03_久美,から,カラ,から,助詞-接続助詞,,,和,,カラ,から:。,カラ,カラー,252.578,253.955,252.578,253.955,0,I
K008_001a,776,B,IC01_深石,うーん,ウン,うん,感動詞-一般,,,和,,ウーン,うーん。,ウーン,ウーン,252.594,253.041,252.594,253.041,0,B
K008_001a,777,B,IC01_深石,うーん,ウン,うん,感動詞-一般,,,和,,ウーン,うーん。,ウーン,ウーン,253.728,254.089,253.728,254.089,0,B
K008_001a,778,B,IC02_鶴賀,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ ,ジャー,ジャー,254.224,255.915,254.224,255.915,0,B
K008_001a,779,I,IC02_鶴賀,乾杯しよう,カンパイスル,乾杯する,動詞-一般,サ行変格,意志推量形,混,,カンパイスル,乾杯しよう。,カンパイシヨー,カンパイシヨー,254.224,255.915,254.224,255.915,0,B
K008_001a,780,B,IC03_久美,はーい,ハイ,はい,感動詞-一般,,,和,,ハアイ,はーい。,ハーイ,ハーイ,255.251,255.605,255.251,255.605,0,B
K008_001a,781,B,IC02_鶴賀,カン,,,言いよどみ,,,,,,(D カン)。,カン,カン,255.915,256.242,255.915,256.242,0,B
K008_001a,782,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,256.942,257.092,256.942,257.092,0,B
K008_001a,783,B,IC03_久美,乾杯,カンパイ,乾杯,名詞-普通名詞-一般,,,漢,,カンパイ,乾(K パ:イ|杯)。,カンパイ,カンパーイ,257.179,257.887,257.179,257.887,0,B
K008_001a,784,B,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,257.400,257.640,257.400,257.640,0,B
K008_001a,785,B,IC02_鶴賀,はーい,ハイ,はい,感動詞-一般,,,和,,ハアイ,はーい。,ハーイ,ハーイ,257.418,258.197,257.418,258.197,0,B
K008_001a,786,B,IC01_深石,乾杯,カンパイ,乾杯,名詞-普通名詞-一般,,,漢,,カンパイ,乾杯。,カンパイ,カンパイ,257.640,258.179,257.640,258.179,0,B
K008_001a,787,B,IC03_久美,お疲れさま,オツカレサマ,御疲れ様,名詞-普通名詞-一般,,,和,,オツカレサマ,お疲れさま,オツカレサマ,オツカレサマ,257.887,259.256,257.887,259.256,0,B
K008_001a,788,I,IC03_久美,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,で:す。,デス,デース,257.887,259.256,257.887,259.256,0,I
K008_001a,789,B,IC01_深石,ありがと,アリガトウ,有り難う,感動詞-一般,,,和,,アリガト,ありがと,アリガト,アリガト,258.179,260.485,258.179,260.485,0,B
K008_001a,790,I,IC01_深石,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,ござい,ゴザイ,ゴザイ,258.179,260.485,258.179,260.485,0,B
K008_001a,791,I,IC01_深石,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ま:す:。,マス,マースー,258.179,260.485,258.179,260.485,0,I
K008_001a,792,B,IC02_鶴賀,乾杯,カンパイ,乾杯,名詞-普通名詞-一般,,,漢,,カンパイ,(K カ:ン|乾)杯。,カンパイ,カーンパイ,258.197,259.110,258.197,259.110,0,B
K008_001a,793,B,IC02_鶴賀,いいえー,イイエ,いいえ,感動詞-一般,,,和,,イイエエ,いいえー。,イーエー,イーエー,259.110,260.400,259.110,260.400,0,B
K008_001a,794,B,IC03_久美,ありがとう,アリガトウ,有り難う,感動詞-一般,,,和,,アリガトウ,ありがとう,アリガトー,アリガトー,259.256,260.486,259.256,260.486,0,B
K008_001a,795,I,IC03_久美,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,ござい,ゴザイ,ゴザイ,259.256,260.486,259.256,260.486,0,B
K008_001a,796,I,IC03_久美,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます。,マス,マス,259.256,260.486,259.256,260.486,0,I
K008_001a,797,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,(T うん)。,ウン,ウン,263.825,263.948,263.825,263.948,0,B
K008_001a,798,B,IC02_鶴賀,ふん,フン,ふん,感動詞-一般,,,和,,フン,(T ふん)。,フン,フン,264.165,264.282,264.165,264.282,0,B
K008_001a,799,B,IC02_鶴賀,で,デ,で,接続詞,,,和,,デ,で。,デ,デ,265.924,266.127,265.924,266.127,0,B
K008_001a,800,B,IC01_深石,うーん,ウン,うん,感動詞-一般,,,和,,ウーン,うーん。,ウーン,ウーン,265.947,266.403,265.947,266.403,0,B
K008_001a,801,B,IC02_鶴賀,もう,モウ,もう,副詞,,,和,,モウ,(W モ|もう) ,モー,モ,267.524,268.506,267.524,268.506,0,B
K008_001a,802,I,IC02_鶴賀,直箸,ジカバシ,直箸,名詞-普通名詞-一般,,,混,,ジカバシ,(Y ジカバシ|直箸),ジカバシ,ジカバシ,267.524,268.506,267.524,268.506,0,B
K008_001a,803,I,IC02_鶴賀,で,デ,で,助詞-格助詞,,,和,,デ,で,デ,デ,267.524,268.506,267.524,268.506,0,I
K008_001a,804,I,IC02_鶴賀,いい,ヨイ,良い,形容詞-一般,形容詞,終止形-一般,和,,イイ,いい,イー,イー,267.524,268.506,267.524,268.506,0,B
K008_001a,805,I,IC02_鶴賀,よ,ヨ,よ,助詞-終助詞,,,和,,ヨ,よ,ヨ,ヨ,267.524,268.506,267.524,268.506,0,I
K008_001a,806,I,IC02_鶴賀,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね?。,ネ,ネ,267.524,268.506,267.524,268.506,0,I
K008_001a,807,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,268.830,268.984,268.830,268.984,0,B
K008_001a,808,B,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,269.068,269.166,269.068,269.166,0,B
K008_001a,809,B,IC03_久美,失礼,シツレイ,失礼,名詞-普通名詞-一般,,,漢,,シツレイ,失礼。,シツレー,シツレー,269.408,269.862,269.408,269.862,0,B
K008_001a,810,B,IC02_鶴賀,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,269.712,269.846,269.712,269.846,0,B
K008_001a,811,B,IC02_鶴賀,全然,ゼンゼン,全然,副詞,,,漢,,ゼンゼン,全然,ゼンゼン,ゼンゼン,269.846,270.813,269.846,270.813,0,B
K008_001a,812,I,IC02_鶴賀,大丈夫,ダイジョウブ,大丈夫,形状詞-一般,,,漢,,ダイジョウブ,大丈夫,ダイジョーブ,ダイジョーブ,269.846,270.813,269.846,270.813,0,B
K008_001a,813,I,IC02_鶴賀,よ,ヨ,よ,助詞-終助詞,,,和,,ヨ,よ。,ヨ,ヨ,269.846,270.813,269.846,270.813,0,I
K008_001a,814,B,IC02_鶴賀,で,デ,で,接続詞,,,和,,デ,で,デ,デ,271.615,274.025,271.615,271.709,0,B
K008_001a,815,I,IC02_鶴賀,これ,コレ,此れ,代名詞,,,和,,コレ,これ,コレ,コレ,271.615,274.025,271.864,272.369,0,B
K008_001a,816,I,IC02_鶴賀,を,ヲ,を,助詞-格助詞,,,和,,ヲ,を,オ,オ,271.615,274.025,271.864,272.369,0,I
K008_001a,817,I,IC02_鶴賀,そ,ソウ,そう,副詞,,,和,,ソ,(G そう|そ),ソ,ソ,271.615,274.025,272.787,274.025,0,B
K008_001a,818,I,IC02_鶴賀,すれ,スル,する,動詞-一般,サ行変格,仮定形-一般,和,,スル,すれ,スレ,スレ,271.615,274.025,272.787,274.025,0,B
K008_001a,819,I,IC02_鶴賀,ば,バ,ば,助詞-接続助詞,,,和,,バ,ば ,バ,バ,271.615,274.025,272.787,274.025,0,I
K008_001a,820,I,IC02_鶴賀,ス,,,言いよどみ,,,,,,(D ス) ,ス,ス,271.615,274.025,272.787,274.025,0,B
K008_001a,821,I,IC02_鶴賀,ここ,ココ,此処,代名詞,,,和,,ココ,ここ ,ココ,ココ,271.615,274.025,272.787,274.025,0,B
K008_001a,822,I,IC02_鶴賀,置ける,オク,置く,動詞-一般,下一段-カ行,終止形-一般,和,,オケル,置ける,オケル,オケル,271.615,274.025,272.787,274.025,0,B
K008_001a,823,I,IC02_鶴賀,でしょ,デス,です,助動詞,助動詞-デス,意志推量形,和,,デス,でしょ。,デショ,デショ,271.615,274.025,272.787,274.025,0,I
K008_001a,824,B,IC02_鶴賀,ス,,,言いよどみ,,,,,,(D ス),ス,ス,274.091,274.788,274.091,274.788,0,B
K008_001a,825,I,IC02_鶴賀,アスパラガス,アスパラガス,アスパラガス,名詞-普通名詞-一般,,,外,asparagus,アスパラガス,アスパラガス。,アスパラガス,アスパラガス,274.091,274.788,274.091,274.788,0,B
K008_001a,826,B,IC02_鶴賀,ス,,,言いよどみ,,,,,,(D ス) ,ス,ス,274.788,275.500,274.788,275.500,0,B
K008_001a,827,I,IC02_鶴賀,ここ,ココ,此処,代名詞,,,和,,ココ,ここ,ココ,ココ,274.788,275.500,274.788,275.500,0,B
K008_001a,828,I,IC02_鶴賀,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,274.788,275.500,274.788,275.500,0,I
K008_001a,829,I,IC02_鶴賀,上,ウエ,上,名詞-普通名詞-一般,,,和,,ウエ,上,ウエ,ウエ,274.788,275.500,274.788,275.500,0,B
K008_001a,830,I,IC02_鶴賀,に,ニ,に,助詞-格助詞,,,和,,ニ,に。,ニ,ニ,274.788,275.500,274.788,275.500,0,I
K008_001a,831,B,IC01_深石,あー,アア,ああ,感動詞-一般,,,和,,アア,あー ,アー,アー,275.615,275.922,275.615,275.922,0,B
K008_001a,832,I,IC01_深石,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,275.615,275.922,275.615,275.922,0,B
K008_001a,833,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん ,ウン,ウン,275.835,276.239,275.835,276.239,0,B
K008_001a,834,I,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,275.835,276.239,275.835,276.239,0,B
K008_001a,835,B,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい ,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,836,I,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい ,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,837,I,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,275.922,276.467,275.922,276.467,0,B
K008_001a,838,B,IC01_深石,ぼーっとし,ボウットスル,ぼうっとする,動詞-一般,サ行変格,連用形-一般,和,,ボウットスル,ぼーっとし,ボーットシ,ボーットシ,276.467,277.286,276.467,277.286,0,B
K008_001a,839,I,IC01_深石,ちゃっ,チャウ,ちゃう,助動詞,五段-ワア行,連用形-促音便,和,,チャウ,ちゃっ,チャッ,チャッ,276.467,277.286,276.467,277.286,0,I
K008_001a,840,I,IC01_深石,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た。,タ,タ,276.467,277.286,276.467,277.286,0,I
K008_001a,841,B,IC02_鶴賀,で,デ,で,接続詞,,,和,,デ,で。,デ,デ,276.879,277.044,276.879,277.044,0,B
K008_001a,842,B,IC03_久美,ごめんなさい,ゴメンナサイ,御免為さい,感動詞-一般,,,混,,ゴメンナサル,(T (U ごめんなさい))。,ゴメンナサイ,ゴメンナサイ,284.506,285.468,284.506,285.468,0,B
K008_001a,843,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,(T うん)。,ウン,ウン,285.473,285.768,285.473,285.768,0,B
K008_001a,844,B,IC01_深石,おいしい,オイシイ,美味しい,形容詞-一般,形容詞,終止形-一般,和,,オイシイ,おいしい。,オイシー,オイシー,290.342,290.825,290.342,290.825,0,B
K008_001a,845,B,IC01_深石,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,291.169,291.903,291.169,291.903,0,B
K008_001a,846,B,IC03_久美,おいしかっ,オイシイ,美味しい,形容詞-一般,形容詞,連用形-促音便,和,,オイシイ,おいしかっ,オイシカッ,オイシカッ,291.346,292.363,291.346,292.363,0,B
K008_001a,847,I,IC03_久美,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た,タ,タ,291.346,292.363,291.346,292.363,0,I
K008_001a,848,I,IC03_久美,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,291.346,292.363,291.346,292.363,0,I
K008_001a,849,I,IC03_久美,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,291.346,292.363,291.346,292.363,0,I
K008_001a,850,B,IC01_深石,ふん,フン,ふん,感動詞-一般,,,和,,フン,(L ふん)。,フン,フン,291.903,292.134,291.903,292.134,0,B
K008_001a,851,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,292.363,292.746,292.363,292.746,0,B
K008_001a,852,B,IC01_深石,おいしい,オイシイ,美味しい,形容詞-一般,形容詞,終止形-一般,和,,オイシイ,おいしい。,オイシー,オイシー,292.440,292.911,292.440,292.911,0,B
K008_001a,853,B,IC01_深石,ありがとう,アリガトウ,有り難う,感動詞-一般,,,和,,アリガトウ,ありがとう,アリガトー,アリガトー,293.052,294.013,293.052,294.013,0,B
K008_001a,854,I,IC01_深石,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,(U ござい,ゴザイ,ゴザイ,293.052,294.013,293.052,294.013,0,B
K008_001a,855,I,IC01_深石,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます)。,マス,マス,293.052,294.013,293.052,294.013,0,I
K008_001a,856,B,IC02_鶴賀,きょう,キョウ,今日,名詞-普通名詞-一般,,,和,,キョウ,(T きょう,キョー,キョー,295.457,296.830,295.457,296.830,0,B
K008_001a,857,I,IC02_鶴賀,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,295.457,296.830,295.457,296.830,0,I
K008_001a,858,I,IC02_鶴賀,横,ヨコ,横,名詞-普通名詞-一般,,,和,,ヨコ,横,ヨコ,ヨコ,295.457,296.830,295.457,296.830,0,B
K008_001a,859,I,IC02_鶴賀,に,ニ,に,助詞-格助詞,,,和,,ニ,に ,ニ,ニ,295.457,296.830,295.457,296.830,0,I
K008_001a,860,I,IC02_鶴賀,こう,コウ,こう,副詞,,,和,,コウ,こう,コー,コー,295.457,296.830,295.457,296.830,0,B
K008_001a,861,I,IC02_鶴賀,切っ,キル,切る,動詞-一般,五段-ラ行,連用形-促音便,和,,キル,切っ,キッ,キッ,295.457,296.830,295.457,296.830,0,B
K008_001a,862,I,IC02_鶴賀,ちゃお,チャウ,ちゃう,助動詞,五段-ワア行,意志推量形,和,,チャウ,ちゃお)。,チャオ,チャオ,295.457,296.830,295.457,296.830,0,I
K008_001a,863,B,IC03_久美,すごい,スゴイ,凄い,形容詞-一般,形容詞,終止形-一般,和,,スゴイ,すご:い。,スゴイ,スゴーイ,298.666,299.553,298.666,299.553,0,B
K008_001a,864,B,IC02_鶴賀,で,デ,で,接続詞,,,和,,デ,で ,デ,デ,299.755,302.827,299.755,300.66,0,B
K008_001a,865,I,IC02_鶴賀,あと,アト,後,名詞-普通名詞-一般,,,和,,アト,あと,アト,アト,299.755,302.827,299.755,300.66,0,B
K008_001a,866,I,IC02_鶴賀,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,299.755,302.827,299.755,300.66,0,I
K008_001a,867,I,IC02_鶴賀,さ,サ,さ,助詞-終助詞,,,和,,サ,さ:,サ,サー,299.755,302.827,299.755,300.66,0,I
K008_001a,868,I,IC02_鶴賀,ちょっと,チョット,一寸,副詞,,,和,,チョット,ちょっと ,チョット,チョット,299.755,302.827,302.292,302.827,0,B
K008_001a,869,I,IC02_鶴賀,もう,モウ,もう,副詞,,,和,,モウ,もう。,モー,モー,299.755,302.827,302.292,302.827,0,B
K008_001a,870,B,IC02_鶴賀,ちょっと,チョット,一寸,副詞,,,和,,チョット,ちょっと ,チョット,チョット,307.417,308.129,307.417,308.129,0,B
K008_001a,871,I,IC02_鶴賀,持っ,モツ,持つ,動詞-一般,五段-タ行,連用形-促音便,和,,モツ,持っ,モッ,モッ,307.417,308.129,307.417,308.129,0,B
K008_001a,872,I,IC02_鶴賀,て,テル,てる,助動詞,下一段-タ行,連用形-一般,和,,テル,て,テ,テ,307.417,308.129,307.417,308.129,0,I
K008_001a,873,I,IC02_鶴賀,て,テ,て,助詞-接続助詞,,,和,,テ,て。,テ,テ,307.417,308.129,307.417,308.129,0,I
K008_001a,874,B,IC02_鶴賀,こう,コウ,こう,副詞,,,和,,コウ,こう。,コー,コー,308.129,308.291,308.129,308.291,0,B
K008_001a,875,B,IC02_鶴賀,ソイ,,,形態論情報付与対象外,,,,,,(X ソイ)。,ソイ,ソイ,311.482,311.713,311.482,311.713,0,B
